group,n,true_noise,mean_1mp,p90_1mp,mean_ent,C_full,C_proj,out_mass,Cproj_kappa
Allegro > Kids > Toys > Home Appliances,358,0.07262569832402235,0.7723503112792969,0.9997346997261047,4.342679977416992,0.5928834811483664,0.17387274648215245,0.7279074793088369,0.1646950427438559
Allegro > Kids > Bicycles and Vehicles > Electric Vehicles,357,0.07563025210084033,0.6038174033164978,0.9995627999305725,3.1258726119995117,0.41271964640025083,0.12953243790577368,0.5298628997402031,0.1295324378927423
Allegro > Beauty > Professional salon equipment > Hair Salons,356,0.042134831460674156,0.8075960278511047,0.9993700981140137,4.467347145080566,0.5980083364717734,0.1635919814309289,0.73561635814356,0.12693755794181016
Allegro > Kids > Kids' Room > Furniture,353,0.20396600566572237,0.6777520775794983,0.999009907245636,3.243769884109497,0.5286184232250299,0.1611197855424548,0.6613815038467601,0.11244954326789125
"Allegro > Electronics > Audio, Video and Household Appliances > Built-in Appliances",345,0.2289855072463768,0.7594560384750366,0.999095618724823,4.240732669830322,0.6215866865298962,0.2078025425673195,0.7429941536723703,0.14355965106062793
Allegro > Automotive > Motorcycle Parts and Equipment > Motorcycle Equipment and Accessories,336,0.09226190476190477,0.8234474658966064,0.9996081590652466,4.031044960021973,0.6318760707216908,0.14084585454582707,0.7789887718501545,0.10156436299182638
"Allegro > Sports and Travel > Sports Electronics > Smartwatches, Smartbands",334,0.5359281437125748,0.6771494150161743,0.9785400629043579,1.9002374410629272,0.41489988665651567,0.0123971494401406,0.6134560607864471,0.012397149439646411
Allegro > Home and Garden > Equipment > Smart Home,330,0.5,0.9166957139968872,0.9995493292808533,4.4185566902160645,0.7311018802070579,0.03990532211157411,0.8788133012525963,0.03990532210849718
Allegro > Supermarket > Groceries > Tea and Infusions,330,0.15757575757575756,0.8826321959495544,0.999428391456604,4.72438907623291,0.42144570336910275,0.06089239208420527,0.5926333084250941,0.035585894074436235
Allegro > Collections and Art > Handmade > Jewelry - Intermediate Products,329,0.44984802431610943,0.6417279243469238,0.9997013211250305,3.2821240425109863,0.5123377765131835,0.21400848485651242,0.603099063537041,0.1954808989073237
Allegro > Automotive > Garage Tools and Equipment > Standardized parts,328,0.0975609756097561,0.7617605924606323,0.9996302127838135,3.949397325515747,0.605864698414954,0.17318903826827542,0.7425469470823682,0.1731890382470918
Allegro > Supermarket > Groceries > Drinks and Accessories,328,0.42378048780487804,0.6874916553497314,0.999155580997467,4.336419105529785,0.4664259563197507,0.12727698890007044,0.6019017665487965,0.12727698888823188
Allegro > Supermarket > Groceries > Spices and Herbs,327,0.0856269113149847,0.9196412563323975,0.9974781274795532,5.590299606323242,0.6960354039434588,0.04291949939493049,0.8547404694630101,0.03864924982866166
Allegro > Electronics > Computers > Laptops,325,0.19384615384615383,0.8019970655441284,0.9909378290176392,3.1668224334716797,0.2214445011654524,0.028296539848002525,0.3469910498765798,0.019072340498439276
Allegro > Kids > Toys > Skill Toys,324,0.05864197530864197,0.8240403532981873,0.9995889067649841,3.8191328048706055,0.6311806142181418,0.03696159447913685,0.808398045691443,0.0369615944765986
Allegro > Beauty > Care > Hand and foot care,322,0.13043478260869565,0.7558706402778625,0.9997832775115967,3.769103527069092,0.5971407652885856,0.19685664388006674,0.7246645646435874,0.19685664385738288
Allegro > Sports and Travel > Gym and Fitness > Clothes,321,0.27102803738317754,0.7581871151924133,0.9982089996337891,2.150912046432495,0.5929987460723429,0.13263723885302997,0.7428914070872132,0.08390306978418156
Allegro > Supermarket > Groceries > Coffee,321,0.13707165109034267,0.6852812170982361,0.9994592666625977,3.5813870429992676,0.4194685589345575,0.16796633498094268,0.5057927058121869,0.1402667573940784
Allegro > Kids > Clothing > Pants,321,0.006230529595015576,0.45534664392471313,0.94610595703125,1.568190336227417,0.14506425216910648,0.002457789612498638,0.2582411177433168,0.0011327627657618247
Allegro > Culture and Entertainment > Movies > Blu-ray,318,0.04716981132075472,0.8897829651832581,0.9980201721191406,3.595473527908325,0.19014881844734477,0.005359788045612707,0.3257877551159768,0.00253968588418775
Allegro > Home and Garden > Lighting > Outdoor lighting,315,0.32063492063492066,0.8431001901626587,0.9987884759902954,2.932873487472534,0.5737381154679817,0.1135286972361772,0.7327527638465638,0.11352869722561744
Allegro > Home and Garden > Construction Work and Equipment > Kitchen,312,0.10576923076923077,0.4965956211090088,0.9994858503341675,2.6991047859191895,0.3280217587125622,0.07040758467094672,0.4644306357472371,0.030180341093727067
Allegro > Home and Garden > Tools > Measuring Instruments,301,0.09302325581395349,0.7210037112236023,0.9990944862365723,4.61040735244751,0.536445451571816,0.14498435356358766,0.6822016872836902,0.06680830468967268
Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding,298,0.5,0.5816369652748108,0.999882698059082,2.8998379707336426,0.4937170749514871,0.24008903383984037,0.5563668992695392,0.24008903381217483
Allegro > Sports and Travel > Bicycles and Accessories > Clothes,294,0.030612244897959183,0.7117571234703064,0.9984552264213562,3.1108782291412354,0.46049162763866575,0.06391911916557462,0.6358534900509581,0.04291336318373789
"Allegro > Electronics > Audio, Video and Household Appliances > Portable Audio Equipment",293,0.06484641638225255,0.6076557636260986,0.9985828399658203,3.2693991661071777,0.4259573158283426,0.1224422186898907,0.5550296994199524,0.12244221867945897
Allegro > Home and Garden > Garden > Grilling,293,0.23208191126279865,0.9606544971466064,0.9998254776000977,6.03477144241333,0.7996116269780296,0.13282081875842303,0.9116660559950428,0.08826703514375997
Allegro > Electronics > Photography > Camera Power Supply,291,0.01718213058419244,0.5490158200263977,0.9943351745605469,2.350731611251831,0.29827667807062974,0.03618551324207042,0.4519363414380968,0.03618551323990672
